scorer,,,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1
bodyparts,,,head,head,tail_1,tail_1,tail_2,tail_2,tail_3,tail_3,tail_4,tail_4,tail_5,tail_5,tail_6,tail_6,tail_7,tail_7,tail_8,tail_8,tail_9,tail_9
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,093151_video,img0011.png,63.80034932509918,473.57853616600966,62.87437090077549,464.7817411349346,61.48540326428994,456.4479353160213,59.17045720348071,448.57711870926994,56.855511142671475,442.0952697390041,55.003554294024084,434.6874423444145,53.61458665753854,427.7426041619868,51.299640596729304,421.7237444038828,49.91067296024376,415.7048846457788,,
labeled-data,093151_video,img0210.png,63.80034932509918,471.2635901052004,62.411381688613645,464.3187519227727,60.559424839966255,456.9109245281832,59.63344641564255,450.4290755579173,58.24447877915702,445.336194224137,56.39252193050963,439.31733446603295,54.54056508186224,432.83548549576716,52.225619021053,427.279614949825,50.37366217240561,419.8717875552354,,
labeled-data,093151_video,img0333.png,63.33736011293733,470.8006008930386,61.94839247645179,464.3187519227727,60.559424839966255,457.8369029525069,60.09643562780441,451.35505398224103,58.24447877915702,446.2621726484607,56.39252193050963,439.31733446603295,53.61458665753854,432.83548549576716,52.225619021053,427.279614949825,50.37366217240561,421.26075519172093,,
labeled-data,093151_video,img0394.png,63.33736011293733,472.18956852952414,62.87437090077549,467.55967640790567,61.0224140521281,461.5408166498017,61.0224140521281,455.0589676795358,58.24447877915702,448.1141294971081,57.31850035483332,440.7063021025185,55.003554294024084,433.7614639200908,52.225619021053,428.2055933741487,50.83665138456746,420.7977659795591,,
labeled-data,093151_video,img0398.png,63.80034932509918,473.11554695384785,63.80034932509918,465.24473034709644,62.411381688613645,458.76288137683053,61.0224140521281,453.2070108308884,59.17045720348071,447.18815107278436,56.855511142671475,440.7063021025185,55.003554294024084,433.7614639200908,53.61458665753854,427.279614949825,51.299640596729304,419.8717875552354,,
labeled-data,093151_video,img0480.png,63.33736011293733,473.57853616600966,62.411381688613645,468.02266562006747,61.94839247645179,462.0038058619635,60.559424839966255,453.67000004305027,58.24447877915702,447.6511402849462,56.39252193050963,440.24331289035666,54.54056508186224,432.83548549576716,52.225619021053,426.35363652550126,48.521705323758226,418.9458091309117,,
labeled-data,093151_video,img0730.png,62.87437090077549,474.0415253781715,61.94839247645179,468.4856548322294,61.0224140521281,461.07782743763977,60.09643562780441,455.0589676795358,58.24447877915702,449.0401079214318,55.92953271834778,443.02124816332775,54.07757586970039,436.07640998090005,52.68860823321485,429.5945610106342,50.83665138456746,421.7237444038828,,
labeled-data,093151_video,img0932.png,63.33736011293733,473.57853616600966,62.87437090077549,468.02266562006747,61.94839247645179,461.5408166498017,60.09643562780441,454.595978467374,58.24447877915702,448.1141294971081,55.003554294024084,440.7063021025185,53.61458665753854,433.7614639200908,50.83665138456746,426.8166257376631,47.595726899434524,420.3347767673972,,
labeled-data,093151_video,img1104.png,62.87437090077549,473.11554695384785,61.94839247645179,466.63369798358195,60.559424839966255,458.76288137683053,58.24447877915702,452.74402161872655,56.855511142671475,446.2621726484607,54.54056508186224,440.24331289035666,52.68860823321485,433.7614639200908,50.83665138456746,428.2055933741487,49.447683748081914,424.5016796768539,,
labeled-data,093151_video,img1161.png,63.33736011293733,473.11554695384785,62.411381688613645,468.02266562006747,61.48540326428994,462.0038058619635,60.09643562780441,455.9849461038595,58.24447877915702,449.96608634575546,56.39252193050963,443.02124816332775,54.54056508186224,437.0023884052237,52.68860823321485,430.9835286471197,49.91067296024376,424.96466888901574,,
labeled-data,093151_video,img1176.png,63.80034932509918,473.11554695384785,62.87437090077549,467.0966871957438,61.94839247645179,461.5408166498017,59.63344641564255,454.595978467374,58.24447877915702,447.6511402849462,55.003554294024084,441.1692913146804,53.151597445376694,434.2244531322527,51.76262980889115,428.6685825863105,49.447683748081914,422.6497228282065,,
labeled-data,093151_video,img1211.png,62.87437090077549,472.65255774168594,62.411381688613645,466.63369798358195,61.0224140521281,458.76288137683053,59.17045720348071,452.74402161872655,57.31850035483332,446.2621726484607,55.46654350618593,440.24331289035666,53.151597445376694,433.29847470792896,51.76262980889115,427.279614949825,49.447683748081914,422.6497228282065,,
labeled-data,093151_video,img1387.png,63.33736011293733,472.18956852952414,61.48540326428994,466.17070877142015,59.63344641564255,459.22587058899245,56.855511142671475,453.2070108308884,55.003554294024084,447.6511402849462,53.61458665753854,443.02124816332775,51.299640596729304,438.3913560417093,48.521705323758226,433.29847470792896,46.669748475110836,428.66858258631044,,
labeled-data,093151_video,img1393.png,62.411381688613645,471.7265793173623,61.48540326428994,467.0966871957438,60.559424839966255,461.5408166498017,57.78148956699516,456.4479353160213,55.92953271834778,450.4290755579173,53.151597445376694,446.72516186062256,51.76262980889115,441.1692913146804,50.37366217240561,435.1504315565764,48.058716111596375,429.5945610106342,,
labeled-data,093151_video,img1534.png,61.94839247645179,469.41163325655305,60.09643562780441,462.0038058619635,58.707467991318865,456.4479353160213,56.39252193050963,450.8920647700792,53.61458665753854,445.79918343629885,51.299640596729304,440.24331289035666,50.83665138456746,434.6874423444145,48.521705323758226,430.5205394349579,45.743770050787134,422.64972282820645,,
labeled-data,093151_video,img1716.png,92.50568047913372,466.63369798358195,88.33877756967709,464.3187519227727,82.78290702373492,462.46679507412534,77.6900256899546,460.61483822547797,71.20817671968874,457.373913740345,64.26333853726103,455.0589676795358,60.559424839966255,451.81804319440283,55.92953271834778,448.1141294971081,51.299640596729304,441.1692913146804,,
labeled-data,093151_video,img1768.png,92.50568047913372,466.63369798358195,86.94980993319155,462.0038058619635,80.93095017508753,459.22587058899245,75.37507962914536,455.0589676795358,69.81920908320319,450.8920647700792,63.33736011293733,446.72516186062256,58.707467991318865,442.5582589511659,53.61458665753854,438.3913560417093,44.817791626463446,431.9095070714434,,
labeled-data,093151_video,img1896.png,92.96866969129556,466.63369798358195,87.87578835751525,462.46679507412534,81.85692859941123,459.22587058899245,75.8380688413072,454.595978467374,71.67116593185058,449.96608634575546,66.57828459807027,446.72516186062256,61.0224140521281,442.5582589511659,54.54056508186224,438.3913560417093,49.91067296024376,433.29847470792896,,
labeled-data,093151_video,img1956.png,92.04269126697186,466.63369798358195,87.41279914535339,462.0038058619635,81.85692859941123,457.373913740345,74.91209041698352,453.67000004305027,70.7451875075269,449.5030971335936,66.11529538590842,444.41021579981333,60.559424839966255,440.7063021025185,53.61458665753854,436.5393991930619,49.447683748081914,431.4465178592816,,
labeled-data,093151_video,img1959.png,93.89464811561925,467.0966871957438,89.72774520616262,463.8557627106109,84.63486387238231,459.22587058899245,77.6900256899546,454.13298925521207,72.59714435617428,449.5030971335936,67.96725223455581,445.336194224137,62.411381688613645,440.7063021025185,55.46654350618593,437.0023884052237,50.37366217240561,433.7614639200908,,
